Number of Records Retrieved: 10180,,,,,,,,,,,,,,,,,,,,,
STOCKING_EVENT_RECORD_NUM,RECORD_STATUS,STOCKING_YEAR,DESTINATION_WATERBODY_LID,DESTINATION_WATERBODY_NAME,INVENTORY_COMMENTS,STOCKING_COMMENTS,MARKING_COMMENTS,,,,,,,,,,,,,,
2924,APPROVED,2002,17-5758-53184,Smith L.,"H5872
adult transfer- source wby- Otisse L.
Weight approx.  fish sizes ranged between 60 and 1000 grams",,,,,,,,,,,,,,,,
1128,APPROVED,2003,16-3720-53801,Pass L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
1209,APPROVED,2003,16-5397-55499,E-11 L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
1215,APPROVED,2003,16-5381-55486,Mile 30 L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
2019,APPROVED,2002,17-6250-51761,Pole L.,H7611,,,,,,,,,,,,,,,,
2141,APPROVED,2003,18-3644-49674,Pennick L.,,East Side,,,,,,,,,,,,,,,
2142,APPROVED,2003,18-3644-49674,Pennick L.,East Side,,,,,,,,,,,,,,,,
2143,APPROVED,2003,18-3741-49489,Bobs L.,East End,,,,,,,,,,,,,,,,
2144,APPROVED,2003,18-3873-49226,Loughborough L.,West End,,,,,,,,,,,,,,,,
2145,APPROVED,2003,18-3719-49514,Crow L.,Public Dock,,,,,,,,,,,,,,,,
2695,APPROVED,2003,16-4022-54324,Lofquist L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2696,APPROVED,2003,16-4022-54324,Lofquist L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2697,APPROVED,2003,16-4175-54303,Fire Hill L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2700,APPROVED,2003,16-4175-54303,Fire Hill L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2701,APPROVED,2003,16-4022-54324,Lofquist L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2703,APPROVED,2003,16-4022-54324,Lofquist L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2704,APPROVED,2003,16-4022-54324,Lofquist L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2705,APPROVED,2003,16-4022-54324,Lofquist L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
2706,APPROVED,2003,16-3832-54355,Cockeram L. 74 (Lorne's L.),,Stocking: loaded onto a helicopter at the Dorion FCS,,,,,,,,,,,,,,,
2709,APPROVED,2003,16-3926-54284,Hele L. 21,,Stocking: loaded onto a helicopter at the Dorion FCS,,,,,,,,,,,,,,,
1129,APPROVED,2003,16-3768-53865,Caribou L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
1130,APPROVED,2003,16-3792-54105,West MacDonald L.,,Stocking: truck-bags-backpack-lake,,,,,,,,,,,,,,,
1131,APPROVED,2003,16-3778-54100,Cavern L.,,Stocking: truck-dip net-lake,,,,,,,,,,,,,,,
1132,APPROVED,2003,16-3375-53694,Boulevard L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
1133,APPROVED,2003,16-3184-53931,Little Hawkeye L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
1134,APPROVED,2003,16-2918-53702,Adrian L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
1135,APPROVED,2003,16-2818-53430,Sunset L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
1138,APPROVED,2003,16-3108-53342,Cloud L.,,Stocking: truck-lake,,,,,,,,,,,,,,,
1139,APPROVED,2003,16-2839-53455,Strange L. 82E,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
1140,APPROVED,2003,15-7043-53335,Forrest L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
