glfsd_stock_id,agency_stock_id,agency_code,_lake,state_prov,manUnit,grid_10min,location_primary,location_secondary,latitude,longitude,year,month,day,stock_method,species_code,_strain,yearclass,life_stage,age_months,_clip,clip_efficiency,phys_chem_mark,tag_type,cwt_number,tag_retention,mean_length_mm,total_weight_kg,stocking_mortality,lot_code,hatchery_abbrev,number_stocked,notes
20181131,,ILDNR,MI,IL,ILL,2402,,Highland Park,,,2017,7,19,t,BNT,PLY,2017,f,7,,,,,,,135,595,0,,,10047,
20181132,,ILDNR,MI,IL,ILL,2503,,"Evanston, Dawes Park",,,2017,7,19,t,BNT,PLY,2017,f,7,,,,,,,135,596,0,,,10048,
20181133,,ILDNR,MI,IL,ILL,2302,,North Point Marina,,,2017,7,20,t,BNT,PLY,2017,f,7,,,,,,,135,630,0,,,10584,
20181134,,ILDNR,MI,IL,ILL,2302,,"Waukegan, South Harbor",,,2017,7,20,t,BNT,PLY,2017,f,7,,,,,,,135,630,0,,,10584,
20181235,,PAFBC,ER,PA,PENN,521,,Presque Isle Bay,,,2017,4,1,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,203,,1,,,500,
20181236,,PAFBC,ER,PA,PENN,523,,West Basin Pond,,,2017,2,15,t,BNT,UNKN,2016,a,14,,,18,Unknown,,,203,,1,,,115,
20181237,,PAFBC,ER,PA,PENN,523,,West Basin Pond,,,2017,4,6,t,BNT,UNKN,2016,a,14,,,18,Unknown,,,228,,1,,,20,
20181244,,PAFBC,ER,PA,PENN,718,,E. Br. Conneaut Ck,,,2017,4,14,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,241,,1,,,3500,
20181245,,PAFBC,ER,PA,PENN,718,,E. Br. Conneaut Ck,,,2017,4,29,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,241,,1,,,2000,
20181246,,PAFBC,ER,PA,PENN,718,,E. Br. Conneaut Ck,,,2017,5,7,t,BNT,UNKN,2016,a,17,,,18,Unknown,,,241,,1,,,2000,
20181247,,PAFBC,ER,PA,PENN,718,,E. Br. Conneaut Ck,,,2017,5,13,t,BNT,UNKN,2016,a,17,,,18,Unknown,,,241,,1,,,600,
20181248,,PAFBC,ER,PA,PENN,522,,Eightmile Ck,,,2017,4,1,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,203,,1,,,5000,
20181249,,PAFBC,ER,PA,PENN,523,,Orchard Beach Run,,,2017,4,1,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,203,,1,,,5000,
20181250,,PAFBC,ER,PA,PENN,523,,Peck Run,,,2017,4,1,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,203,,1,,,5000,
20181251,,PAFBC,ER,PA,PENN,522,,Sevenmile Ck,,,2017,4,1,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,203,,1,,,1000,
20181252,,PAFBC,ER,PA,PENN,522,,Sixmile Ck,,,2017,4,1,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,203,,1,,,1000,
20181253,,PAFBC,ER,PA,PENN,523,,Woodmere Ck,,,2017,4,1,t,BNT,UNKN,2015,a,17,,,18,Unknown,,,203,,1,,,5000,
20181254,,PAFBC,ER,PA,PENN,521,East Ave Bl,Lake Erie,42.145,-80.065,2017,2,28,t,BNT,UNKN,2016,y,16,,,18,Unknown,,,,,1,,,2072,
20181255,,PAFBC,ER,PA,PENN,521,East Ave Bl,Lake Erie,42.145,-80.065,2017,2,28,t,BNT,UNKN,2016,y,16,,,18,Unknown,,,,,1,,,2077,
20181256,,PAFBC,ER,PA,PENN,521,East Ave Bl,Lake Erie,42.145,-80.065,2017,3,2,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,1296,
20181257,,PAFBC,ER,PA,PENN,521,East Ave Bl,Lake Erie,42.145,-80.065,2017,3,2,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,1289,
20181258,,PAFBC,ER,PA,PENN,521,East Ave Bl,Lake Erie,42.145,-80.065,2017,3,1,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,3266,
20181259,,PAFBC,ER,PA,PENN,620,,Trout Run,42.0332,-80.1623,2017,3,2,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,2100,
20181260,,PAFBC,ER,PA,PENN,620,,Trout Run,42.0332,-80.1623,2017,3,2,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,2016,
20181261,,PAFBC,ER,PA,PENN,620,,Trout Run,42.0332,-80.1623,2017,3,2,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,840,
20181262,,PAFBC,ER,PA,PENN,620,,Trout Run,42.0332,-80.1623,2017,3,1,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,2070,
20181263,,PAFBC,ER,PA,PENN,620,,Trout Run,42.0332,-80.1623,2017,3,1,t,BNT,UNKN,2015,y,17,,,18,Unknown,,,,,1,,,2072,
20198281,37242,OMNR,HU,ON,OH5,2015,,Cow Creek At 402,42.9936,-82.2087,2017,4,12,t,BNT,GAN,2016,y,16,AD,,,,,,,80,0,10759,,2265,fs_event: 37242
20198282,37244,OMNR,HU,ON,OH5,2015,,Cow Creek At 402,42.9936,-82.2087,2017,4,12,t,BNT,GAN,2016,y,16,AD,,,,,,,89,0,10759,,2196,fs_event: 37244
20198305,37627,OMNR,HU,ON,OH5,2015,,Exmouth,42.9896,-82.4173,2017,5,28,t,BNT,GAN,2014,a,42,AD,,,,,,,4000,0,10758,,15,fs_event: 37627
20198384,38890,OMNR,HU,ON,OH5,2015,,Exmouth,42.9896,-82.4173,2017,11,2,t,BNT,GAN,2017,y,11,AD,,,,,,,33,0,10751,,4317,fs_event: 38890
20198385,38891,OMNR,HU,ON,OH5,2015,,Exmouth,42.9896,-82.4173,2017,11,2,t,BNT,GAN,2017,y,11,AD,,,,,,,33,0,10751,,5036,fs_event: 38891
20198386,38892,OMNR,HU,ON,OH5,2015,,Exmouth,42.9896,-82.4173,2017,11,2,t,BNT,GAN,2017,y,11,AD,,,,,,,33,0,10751,,3741,fs_event: 38892
20198387,38893,OMNR,HU,ON,OH5,1918,,Port Franks,43.2332,-81.9019,2017,11,2,t,BNT,GAN,2017,y,11,AD,,,,,,,33,0,10751,,3229,fs_event: 38893
20198401,39082,OMNR,HU,ON,GB4,1023,,Colpoys Bay Dock,44.7793,-81.1224,2017,8,27,t,BNT,UNKN,2017,suf,9,,,,,,,,8,0,10752,,19277,fs_event: 39082
20198423,39105,OMNR,HU,ON,GB2,923,,Barrow Bay,44.9666,-81.1833,2017,10,28,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,5000,fs_event: 39105
20198424,39106,OMNR,HU,ON,OH3,1220,,Bruce Twp Con 12Invr,44.3762,-81.5246,2017,10,29,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,5000,fs_event: 39106
20198425,39107,OMNR,HU,ON,OH3,1220,,Baie Du Dore,44.3489,-81.5543,2017,10,30,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,5000,fs_event: 39107
20198426,39108,OMNR,HU,ON,OH3,1320,,Inverhuron Bay,44.2873,-81.5928,2017,10,31,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,5104,fs_event: 39108
20198427,39109,OMNR,HU,ON,OH3,1419,,Point Clark - Nw,44.0993,-81.7936,2017,11,1,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,4200,fs_event: 39109
20198428,39110,OMNR,HU,ON,OH4,1419,,Point Clark Shore,44.0736,-81.759,2017,11,1,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,4200,fs_event: 39110
20198429,39111,OMNR,HU,ON,OH3,1220,,Baie Du Dore,44.3489,-81.5543,2017,11,21,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,5000,fs_event: 39111
20198430,39112,OMNR,HU,ON,OH3,1122,,Dennys Dam,44.5042,-81.3288,2017,11,3,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,5000,fs_event: 39112
20198431,39113,OMNR,HU,ON,OH3,1320,,Kincardine Dock,44.1773,-81.642,2017,11,4,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,3938,fs_event: 39113
20198432,39114,OMNR,HU,ON,OH3,1320,,Kincardine Dock,44.1773,-81.642,2017,11,4,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,4000,fs_event: 39114
20198433,39115,OMNR,HU,ON,OH3,1320,,Kincardine Dock,44.1773,-81.642,2017,11,4,t,BNT,UNKN,2017,y,10,,,,,,,,25,0,10753,,4000,fs_event: 39115
